track_id,user_id,playcount
TRIRLYL128F42539D1,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRFUPBA128F934F7E1,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRLQPQJ128F42AA94F,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRTUCUY128F92E1D24,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRHDDQG12903CB53EE,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRGRDEC128F423C07D,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRRYCBO128F932A2C7,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRUTULC128F4293712,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRAAHSY128F147BB5C,b80344d063b5ccb3212f76538f3d9e43d87dca9e,2
TRDLMWP128F426BF6C,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRMSZXT128F92F7816,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRVODUZ128F934D094,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRLXSNR128F429361D,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRPUGUW128F426BF6F,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRAUCNU128F42671EB,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRVVWSW128F4292931,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRADVZX128F426BF79,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRDCZUX128F4263A74,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRUYKTB128F1459197,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRQLOHS128F42435AE,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRCTFBL128F42934F3,85c1f87fea955d09b4bec2e36aee110927aedf9a,2
TRPGYLT128F428AD02,85c1f87fea955d09b4bec2e36aee110927aedf9a,3
TRAEGXU128F9304D31,bd4c6e843f00bd476847fb75c47b4fb430a06856,1
TRFNNFP128F146CB4B,bd4c6e843f00bd476847fb75c47b4fb430a06856,1
TRWCEKE128F93191BE,bd4c6e843f00bd476847fb75c47b4fb430a06856,2
TRADEOV128F9330E3B,bd4c6e843f00bd476847fb75c47b4fb430a06856,1
TRTQVKS128F92EF9BE,bd4c6e843f00bd476847fb75c47b4fb430a06856,1
TRSGIYX128F149F01F,969cc6fb74e076a68e36a04409cb9d3765757508,1
TRXWAZC128F9314B3E,969cc6fb74e076a68e36a04409cb9d3765757508,1
TRDOYFZ128F426E715,969cc6fb74e076a68e36a04409cb9d3765757508,1
TRBFXMJ12903CB50F6,4bd88bfb25263a75bbdd467e74018f4ae570e5df,2
TRDSFKT12903CB510F,4bd88bfb25263a75bbdd467e74018f4ae570e5df,4
TRRELZC128E078ED67,4bd88bfb25263a75bbdd467e74018f4ae570e5df,6
TRURIYJ12903CB50FA,4bd88bfb25263a75bbdd467e74018f4ae570e5df,3
TRISTWT128F1488FBB,e006b1a48f466bf59feefed32bec6494495a4436,1
TRKPWGR128E078EE06,e006b1a48f466bf59feefed32bec6494495a4436,2
TRJZLOA128F930369C,e006b1a48f466bf59feefed32bec6494495a4436,4
TRUZPNY128F147FD23,e006b1a48f466bf59feefed32bec6494495a4436,1
TRLSADE128F9321896,e006b1a48f466bf59feefed32bec6494495a4436,1
TRONYHY128F92C9D11,e006b1a48f466bf59feefed32bec6494495a4436,2
TRTDKMT128F92CDD87,e006b1a48f466bf59feefed32bec6494495a4436,3
TRGAOLV128E0789D40,9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,2
TRCIVWB128F92FDBB3,9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,2
TRFWGOJ128E0780C8B,9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,2
TRZCIWG128F4248B25,9d6f0ead607ac2a6c2460e4d14fb439a146b7dec,2
TRXQJWK128F146DF76,9bb911319fbc04f01755814cb5edb21df3d1a336,16
TRHNJTW128E0784786,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRNJLKP128F427CE28,b64cdd1a0bd907e5e00b39e345194768e330d652,3
TRZACEN128F428E742,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRGASNY128F14696B0,b64cdd1a0bd907e5e00b39e345194768e330d652,2
TRISTWT128F1488FBB,b64cdd1a0bd907e5e00b39e345194768e330d652,3
TRJXVFS128F14696B2,b64cdd1a0bd907e5e00b39e345194768e330d652,2
TRXVLLH128F9314656,b64cdd1a0bd907e5e00b39e345194768e330d652,2
TRTNHLR128F428D317,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRVCFUI128F92E1D42,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRFLOVK128F14696AD,b64cdd1a0bd907e5e00b39e345194768e330d652,3
TROSBSJ128F427CE2C,b64cdd1a0bd907e5e00b39e345194768e330d652,3
TRSQWMI128F932FC8A,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRMSHPF128E07889CE,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRUAFFD128F4277048,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRAQVTO128F14696A6,b64cdd1a0bd907e5e00b39e345194768e330d652,4
